i  x  y
0  1.2512589e-003  5.6358531e-001
1  1.9330424e-001  8.0874050e-001
2  5.8500931e-001  4.7987304e-001
3  3.5029145e-001  8.9596240e-001
4  8.2284005e-001  7.4660482e-001
5  1.7410810e-001  8.5894345e-001
6  7.1050142e-001  5.1353496e-001
7  3.0399487e-001  1.4984588e-002
8  9.1402936e-002  3.6445204e-001
9  1.4731285e-001  1.6589862e-001
10  9.8852504e-001  4.4569231e-001
11  1.1908322e-001  4.6693319e-003
12  8.9114048e-003  3.7788018e-001
13  5.3166295e-001  5.7118442e-001
14  6.0176397e-001  6.0716575e-001
15  1.6623432e-001  6.6304514e-001
16  4.5078890e-001  3.5212256e-001
17  5.7039094e-002  6.0768456e-001
18  7.8331858e-001  8.0260628e-001
19  5.1988281e-001  3.0195013e-001
20  8.7597278e-001  7.2667623e-001
21  9.5590075e-001  9.2571795e-001
22  5.3935362e-001  1.4233833e-001
23  4.6208075e-001  2.3532823e-001
24  8.6223945e-001  2.0960112e-001
25  7.7965636e-001  8.4365368e-001
26  9.9679556e-001  9.9969481e-001
27  6.1149937e-001  3.9243751e-001
28  2.6621296e-001  2.9728080e-001
29  8.4014405e-001  2.3743400e-002
30  3.7586596e-001  9.2623676e-002
31  6.7720573e-001  5.6215094e-002
32  8.7893307e-003  9.1879025e-001
33  2.7588733e-001  2.7289651e-001
34  5.8790857e-001  6.9118320e-001
35  8.3761101e-001  7.2649312e-001
36  4.8493912e-001  2.0535905e-001
37  7.4373608e-001  4.6845912e-001
38  4.5796075e-001  9.4915616e-001
39  7.4443800e-001  1.0827967e-001
40  5.9904782e-001  3.8523515e-001
41  7.3500778e-001  6.0896634e-001
42  5.7240516e-001  3.6133915e-001
43  1.5155492e-001  2.2510453e-001
44  4.2515336e-001  8.0288095e-001
45  5.1710562e-001  9.8998993e-001
46  7.5154881e-001  3.4556108e-001
47  1.6898099e-001  6.5730766e-001
48  4.9189734e-001  6.3539537e-002
49  6.9975890e-001  5.0480667e-001
50  1.4749596e-001  9.4958342e-001
51  1.4157537e-001  9.0511795e-001
52  6.9289224e-001  3.0304880e-001
53  4.2655721e-001  7.0375683e-002
54  9.6661275e-001  6.8318735e-001
55  1.5323344e-001  8.7725455e-001
56  8.2168035e-001  5.8204901e-001
57  1.9135105e-001  1.7789239e-001
58  8.1719413e-001  4.7526475e-001
59  1.5555284e-001  5.0392163e-001
60  7.3201697e-001  4.0559099e-001
61  2.7958007e-001  5.6874294e-001
62  6.8224128e-001  7.5585192e-001
63  7.2191534e-001  4.7529527e-001
64  1.2302011e-001  3.6780908e-001
65  8.3468123e-001  3.5096286e-002
66  5.1701407e-001  6.6298410e-001
67  4.2622150e-001  1.0467849e-001
68  9.4933927e-001  9.2138432e-001
69  5.4954680e-001  3.4598834e-001
70  4.7172460e-001  3.7498093e-001
71  8.4698019e-001  3.1687368e-001
72  4.5609912e-001  2.7188940e-001
73  9.8297067e-001  2.9779962e-001
74  7.3918882e-001  5.6727805e-001
75  1.9598987e-001  7.6131474e-001
76  8.3944212e-001  3.9765618e-001
77  5.0090030e-001  8.9016388e-001
78  2.7466659e-002  9.9462874e-001
79  5.7258827e-001  5.0508133e-002
80  5.3132725e-001  1.9406720e-001
81  8.4304331e-001  6.2675863e-001
82  6.5761284e-001  1.9785150e-001
83  8.4215827e-001  1.2332530e-001
84  1.0992767e-001  7.4312571e-001
85  3.1406598e-001  9.4106876e-001
86  2.8608051e-001  3.3631397e-001
87  1.4026307e-001  7.3308512e-001
88  8.3462020e-001  7.0799890e-001
89  6.0023804e-001  7.4721519e-001
90  2.5272378e-001  1.4447462e-001
91  1.6174810e-003  6.1006500e-002
92  8.0623798e-001  8.5262612e-001
93  2.1057772e-001  1.1560411e-001
94  5.5320902e-001  1.4252144e-002
95  1.1377300e-001  4.5451216e-001
96  7.5222022e-001  6.8614765e-001
97  5.4344310e-001  7.3885311e-002
98  4.3671987e-001  2.0194098e-001
99  6.9621876e-001  2.9035310e-001
